Smiles,ID
C[C@@H]([C@@H]([C@H](C1)O2)[C@@](C)(CC3)[C@@H]1[C@H]1[C@H]3[C@@](C)([C@@H](C[C@@H](C3)O)O)C3=CC1)[C@@]2(CC1)OCC1=C,Amb22584587
C[C@](CC[C@H]([C@@]1(C)[C@H](CC2)C(C)(C)CCC1)[C@@]2(C)O)(C=C)O,Amb22800878
CC(C)c(cc(CC[C@@H](C(C)(C)CCC1)[C@@]11C(O)=O)c1c1O)c1O,Amb8396599
C[C@@H](C[C@H]([C@@H]1[C@@]2(C)CCC[C@@]11C)OC1=O)[C@]2(CCc1cocc1)O,Amb22584568
C[C@H](CC[C@H]1/C=C(\C)/C(O)=O)[C@@H]2C1=C(C)CC2,Amb6298352
C[C@H](CC1)C(C2)=C1[C@H](C)CC[C@@H]2C(C)(C)O,Amb18511772
COC(c(cccc1)c1O)=O,Amb1200750
CC(Oc1cc(C)ccc1)=O,Amb4036635
OC(C(Cc(cc1)cc(O)c1O)OC(/C=C/c(cc1)cc(O)c1O)=O)=O,Amb6298823
Cc1cc(O)c(C=O)c(Oc(c(C(O)=O)cc(OC)c2C)c2O2)c1C2=O,Amb18511828
CCCCCC(CC(CCc(cc1)cc(OC)c1O)=O)O,Amb6356602
CCCCCCCC(CC(CCc(cc1)cc(OC)c1O)=O)O,Amb18511829
CCCCC/C=C/C(CCc(cc1)cc(OC)c1O)=O,Amb6297529
COc1ccc(/C=C/C(O2)=CC(OC)=CC2=O)cc1,Amb18511832
OC(c(cc1O)cc(O)c1O)=O,Amb1933716
C1=CC2=CC=CC=CC2=C1,Amb4023450
CC(CCC=C(C)C)(C=C)OC(C)=O,Amb8390829
CC(C)([C@H](CC1)C2)[C@]1(C)[C@@H]2O,Amb22799646
CC(C)([C@H](CC1)C2)[C@]1(C)[C@@H]2OC(C)=O,Amb22799648
CC1(C)O[C@]2(C)CC[C@H]1CC2,Amb6307400
CC(C)[C@](C1)(C[C@H]2OC(C)=O)[C@H]1C2=C,Amb18511839
CC(C(CC=C1C)CC1=O)=C,Amb2718755
CC(CCC=C(C)C)CC=O,Amb3940789
CC(CCC=C(C)C)CCO,Amb571421
CC(C)c1ccc(C)cc1,Amb6608914
CC(C)=CCC/C(/C)=C/CO,Amb2720760
CC(C)=CCC/C(/C)=C/COC(C)=O,Amb1953840
CC1(C)C(/C=C/C(C)=O)C(C)=CCC1,Amb9703133
CC(C)([C@H](CC1)C2)[C@]1(C)[C@@H]2O,Amb1933831
C[C@@H](CC[C@@H]1C(C)=C)C[C@@H]1O,Amb8496743
CC(CCC=C(C)C)(C=C)O,Amb2718754
CC(C)[C@@H](CC[C@H](C)C1)[C@H]1O,Amb532954
CC(C)[C@@H](CC[C@H](C)C1)[C@H]1OC(C)=O,Amb18511844
CC1(C)[C@H]2C(C)=CC[C@@H]1C2,Amb18511845
CC(C)C(CCC(C)=C1)C1=O,Amb17593801
CC(CCC1=C(C)C)CC1=O,Amb533074
CC(C)[C@](C1)(CC2)[C@H]1C2=C,Amb18511846
CC(C)C1=CC=C(C)CC1,Amb6298775
CC(C)C1=CCC(C)=CC1,Amb6296598
CC(C)=C1CC=C(C)CC1,Amb18511847
CC(C)C(C=C1O)=CC=CC1=O,Amb18511848
CC(C)(C1CC=C(C)CC1)O,Amb2404780
CC(C1CC=C(C)CC1)=C,Amb8514270
CC(C)([C@H]1C[C@]2(C)CC1)C2=O,Amb4605947
CC1(C)[C@H]2C(CO)=CC[C@@H]1C2,Amb18511850
CC(C)([C@@H](C1)C(C)=C2)[C@H]1C2=O,Amb18511851
COc1ccc(CC=C)cc1,Amb2689262
CC1(C)[C@@H]2[C@@H](CO)CC[C@H]1C2,Amb18511852
CC(OC/C=C/c1ccccc1)=O,Amb6357316
